timestamp,gpu,total_vram,used_vram,free_vram,total_visible_vram,used_visible_vram,free_visible_vram,total_gtt,used_gtt,free_gtt
1758786119,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786129,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786139,4,262128,286,261842,262128,286,261842,1547968,24,1547944
1758786149,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786159,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786169,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786179,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786189,4,262128,286,261842,262128,286,261842,1547968,24,1547944
1758786200,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786210,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786220,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786230,4,262128,286,261842,262128,286,261842,1547968,24,1547944
1758786240,4,262128,286,261842,262128,286,261842,1547968,24,1547944
1758786250,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786260,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786270,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786280,4,262128,286,261842,262128,286,261842,1547968,24,1547944
1758786290,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786300,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786310,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786320,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786330,4,262128,286,261842,262128,286,261842,1547968,24,1547944
1758786340,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786350,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786360,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786370,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786380,4,262128,286,261842,262128,286,261842,1547968,24,1547944
1758786390,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786400,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786410,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786420,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786430,4,262128,286,261842,262128,286,261842,1547968,24,1547944
1758786440,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786450,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786460,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786470,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786480,4,262128,286,261842,262128,286,261842,1547968,24,1547944
1758786490,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786500,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786510,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786520,4,262128,286,261842,262128,286,261842,1547968,24,1547944
1758786530,4,262128,286,261842,262128,286,261842,1547968,24,1547944
1758786540,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786550,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786560,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786570,4,262128,286,261842,262128,286,261842,1547968,24,1547944
1758786580,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786590,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786600,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786610,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786620,4,262128,286,261842,262128,286,261842,1547968,24,1547944
1758786630,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786640,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786650,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786660,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786670,4,262128,286,261842,262128,286,261842,1547968,24,1547944
1758786680,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786690,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786700,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786710,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786720,4,262128,286,261842,262128,286,261842,1547968,24,1547944
1758786730,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786740,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786750,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786760,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786770,4,262128,286,261842,262128,286,261842,1547968,24,1547944
1758786780,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786790,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786800,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786810,4,262128,286,261842,262128,286,261842,1547968,24,1547944
1758786820,4,262128,286,261842,262128,286,261842,1547968,24,1547944
1758786830,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786840,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786850,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786860,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786870,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786880,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786890,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786900,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786910,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786920,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786930,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786940,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786950,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786960,4,262128,286,261842,262128,286,261842,1547968,24,1547944
1758786970,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786980,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758786990,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758787000,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758787010,4,262128,286,261842,262128,286,261842,1547968,24,1547944
1758787020,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758787030,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758787040,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758787050,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758787060,4,262128,286,261842,262128,286,261842,1547968,24,1547944
1758787070,4,262128,287,261841,262128,287,261841,1547968,24,1547944
1758787081,4,262128,287,261841,262128,287,261841,1547968,24,1547944
